Date,Price,Open,High,Low,Vol.,Change %,CPI_Combined,Inflation_Rate,Gold_Returns,Rolling_Corr_12m,Rolling_Corr_24m,Rolling_Beta_12m
2015-01-01,1095.1,"1,172.40","1,174.40","1,072.30",3.60M,-6.55%,120.6,0.9205020920502127,0.0,0.08999336196192258,,0.041839041981580574
2015-01-01,1095.1,"1,172.40","1,174.40","1,072.30",3.60M,-6.55%,122.3,1.4096185737976885,0.0,0.08999336196192258,,0.04183904198158059
2015-01-01,1095.1,"1,172.40","1,174.40","1,072.30",3.60M,-6.55%,123.3,0.8176614881439059,0.0,0.08999336196192258,,0.041839041981580574
2015-01-01,1095.1,"1,172.40","1,174.40","1,072.30",3.60M,-6.55%,124.1,0.6488240064882467,0.0,0.08999336196192258,-0.19803483224558494,0.04183904198158054
2015-01-01,1132.5,"1,095.10","1,169.80","1,080.20",3.18M,3.42%,122.3,-1.4504431909750148,3.4152132225367726,-0.05826076804342379,0.2956052015952333,-0.036702976620243945
2015-01-01,1095.1,"1,172.40","1,174.40","1,072.30",3.60M,-6.55%,124.3,1.6353229762878119,-3.302428256070644,-0.1647081084720276,0.1848285872435867,-0.12223366398572402
2015-01-01,1095.1,"1,172.40","1,174.40","1,072.30",3.60M,-6.55%,125.5,0.9654062751407899,0.0,-0.1821630483107771,0.18538910226136007,-0.16500425764410734
2015-01-01,1095.1,"1,172.40","1,174.40","1,072.30",3.60M,-6.55%,124.9,-0.47808764940238113,0.0,-0.29190039512423865,0.18538910226136007,-0.383532368992398
2015-01-01,1132.5,"1,095.10","1,169.80","1,080.20",3.18M,3.42%,118.3,-5.284227381905526,3.4152132225367726,-0.517468306218877,-0.13776288983135332,-0.5226469431233082
2015-01-01,1132.5,"1,095.10","1,169.80","1,080.20",3.18M,3.42%,118.4,0.08453085376163294,0.0,-0.5418186492116054,-0.13776288983135332,-0.5719349631557444
2015-01-01,1132.5,"1,095.10","1,169.80","1,080.20",3.18M,3.42%,118.7,0.2533783783783772,0.0,-0.7980416303368829,-0.25034349099672837,-0.7428908395299155
2015-01-01,1132.5,"1,095.10","1,169.80","1,080.20",3.18M,3.42%,119.5,0.6739679865206405,0.0,-0.7980416303368829,-0.3769317297214193,-0.7428908395299157
2015-01-01,1095.1,"1,172.40","1,174.40","1,072.30",3.60M,-6.55%,125.1,4.686192468619232,-3.302428256070644,-0.8581531315591449,-0.493301346510043,-0.7562657551358233
2015-01-01,1141.4,"1,114.50","1,191.70","1,103.80",2.91M,2.35%,118.3,-5.43565147881695,4.227924390466642,-0.904099249800048,-0.6059522992424676,-0.7624009618411752
2015-01-01,1141.4,"1,114.50","1,191.70","1,103.80",2.91M,2.35%,118.4,0.08453085376163294,0.0,-0.9059336635694651,-0.6069099913208306,-0.7686769634826107
2015-01-01,1141.4,"1,114.50","1,191.70","1,103.80",2.91M,2.35%,118.7,0.2533783783783772,0.0,-0.9071464135203943,-0.6074696794664973,-0.7724667229455184
2015-01-01,1065.3,"1,141.30","1,142.70","1,051.60",3.17M,-6.67%,125.5,5.728727885425444,-6.667250744699505,-0.949247400512462,-0.6973300246784832,-0.8512644066034767
2015-01-01,1065.3,"1,141.30","1,142.70","1,051.60",3.17M,-6.67%,124.9,-0.47808764940238113,0.0,-0.9624872365757847,-0.6987194307859036,-0.8278719594675579
2015-01-01,1060.2,"1,064.60","1,088.30","1,045.40",2.56M,-0.48%,118.3,-5.284227381905526,-0.47873838355392273,-0.8618844593283462,-0.6676222980140024,-0.6719432578659427
2015-01-01,1060.2,"1,064.60","1,088.30","1,045.40",2.56M,-0.48%,118.4,0.08453085376163294,0.0,-0.8599302485383109,-0.726684743104186,-0.6698430563989035
2015-01-01,1060.2,"1,064.60","1,088.30","1,045.40",2.56M,-0.48%,118.7,0.2533783783783772,0.0,-0.8264562619944673,-0.7203252091391859,-0.6513585453062123
2015-01-01,1060.2,"1,064.60","1,088.30","1,045.40",2.56M,-0.48%,119.5,0.6739679865206405,0.0,-0.821832080471514,-0.7242018587958216,-0.6467731017568865
2015-01-01,1065.3,"1,141.30","1,142.70","1,051.60",3.17M,-6.67%,125.1,4.686192468619232,0.4810413129598068,-0.7118333489928851,-0.7319762685926491,-0.5207677491983519
2015-01-01,1060.2,"1,064.60","1,088.30","1,045.40",2.56M,-0.48%,120.6,-3.597122302158273,-0.47873838355392273,-0.6779365296984975,-0.6940410406329897,-0.46897148578950804
2015-01-01,1060.2,"1,064.60","1,088.30","1,045.40",2.56M,-0.48%,123.3,2.238805970149249,0.0,-0.6073106555084368,-0.6858702779173712,-0.4188853416538213
2015-01-01,1060.2,"1,064.60","1,088.30","1,045.40",2.56M,-0.48%,124.1,0.6488240064882467,0.0,-0.44726274696719853,-0.6889888836875396,-0.28662486905798984
2015-01-01,1060.2,"1,064.60","1,088.30","1,045.40",2.56M,-0.48%,124.3,0.16116035455278066,0.0,-0.4466583005463138,-0.6904730891285493,-0.28630834991698734
2015-01-01,1060.2,"1,064.60","1,088.30","1,045.40",2.56M,-0.48%,125.1,0.6436041834271933,0.0,-0.4430430447751586,-0.6904881807234354,-0.28400792823365495
2015-01-01,1060.2,"1,064.60","1,088.30","1,045.40",2.56M,-0.48%,125.5,0.3197442046362964,0.0,0.9545676598776063,-0.6981074839743714,0.09375619880036638
2015-01-01,1060.2,"1,064.60","1,088.30","1,045.40",2.56M,-0.48%,124.9,-0.47808764940238113,0.0,0.9545676598776063,-0.7033847980698084,0.09375619880036638
2015-01-01,1060.2,"1,064.60","1,088.30","1,045.40",2.56M,-0.48%,122.3,-2.081665332265814,0.0,0.8741299100304953,-0.6998361479425492,0.08852357372309186
2015-01-01,1065.3,"1,141.30","1,142.70","1,051.60",3.17M,-6.67%,124.3,1.6353229762878119,0.4810413129598068,0.8153217256778917,-0.6857207543749513,0.09809525938603449
2015-01-01,1065.3,"1,141.30","1,142.70","1,051.60",3.17M,-6.67%,124.1,-0.16090104585679832,0.0,0.815679336639762,-0.6294886264388625,0.09782315698965913
2015-01-01,1065.3,"1,141.30","1,142.70","1,051.60",3.17M,-6.67%,123.3,-0.6446414182111226,0.0,0.8177761105229311,-0.629678162558939,0.09719811713234236
2015-01-01,1141.4,"1,114.50","1,191.70","1,103.80",2.91M,2.35%,119.5,-3.081914030819133,7.143527644794911,-0.41848645576758164,-0.6244718662424721,-0.4898159847160688
2015-01-01,1141.4,"1,114.50","1,191.70","1,103.80",2.91M,2.35%,120.6,0.9205020920502127,0.0,-0.6383753453016021,-0.623917522252579,-0.8878308676137068
2015-01-01,1141.4,"1,114.50","1,191.70","1,103.80",2.91M,2.35%,122.3,1.4096185737976885,0.0,-0.6666269398445193,-0.5761623220552132,-0.99269992426004
2015-01-01,1141.4,"1,114.50","1,191.70","1,103.80",2.91M,2.35%,123.3,0.8176614881439059,0.0,-0.6658643411120175,-0.4884941666470894,-0.9853429358131457
2015-01-01,1141.4,"1,114.50","1,191.70","1,103.80",2.91M,2.35%,124.1,0.6488240064882467,0.0,-0.6691606921639113,-0.4882447477517874,-0.9805758629616157
2015-01-01,1141.4,"1,114.50","1,191.70","1,103.80",2.91M,2.35%,124.3,0.16116035455278066,0.0,-0.6658567878876808,-0.48822317987928965,-0.9851641448973766
2015-01-01,1141.4,"1,114.50","1,191.70","1,103.80",2.91M,2.35%,125.1,0.6436041834271933,0.0,-0.6672113275338937,-0.21916727542348627,-0.9795274979230726
2015-01-01,1141.4,"1,114.50","1,191.70","1,103.80",2.91M,2.35%,125.5,0.3197442046362964,0.0,-0.6856586993234619,-0.2228930802156957,-1.0101665487540037
2015-01-01,1141.4,"1,114.50","1,191.70","1,103.80",2.91M,2.35%,124.9,-0.47808764940238113,0.0,-0.8074575237583898,-0.34537197875643105,-1.3378302726981401
